# Region type : patch outlet
# Faces       : 20
# Area        : 5.000000e-06
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
0.000311429   	0.000000e+00
0.00223581    	0.000000e+00
0.0141289     	1.190996e-191
0.0803498     	-5.514949e-71
0.159491      	-2.201103e-63
0.244444      	-2.048091e-60
0.350781      	-9.719060e-59
0.511111      	8.339348e-53
0.6           	-9.938039e-50
0.667033      	-8.696441e-46
0.739815      	-7.648323e-43
0.834375      	-3.291428e-40
0.9875        	-1.065719e-37
1.08307       	9.258934e-34
1.15357       	-1.187204e-31
1.22262       	-3.139933e-29
1.31          	-1.957727e-27
1.44514       	1.042349e-24
1.55679       	-1.365046e-21
1.63367       	4.097332e-19
1.7           	7.901101e-18
1.7828        	-7.249599e-16
1.9           	-1.180286e-14
2.03          	1.553032e-12
2.11378       	-2.509477e-11
2.1801        	-4.718217e-09
2.25701       	-1.470512e-09
2.36063       	6.768129e-07
2.5           	1.666555e-05
2.59125       	2.661599e-04
2.6602        	2.209815e-03
2.73122       	9.253518e-03
2.82125       	2.407959e-02
2.95886       	4.803384e-02
3.065         	8.792125e-02
3.14031       	1.147159e-01
3.20714       	1.259144e-01
3.2914        	1.227961e-01
3.41429       	1.098045e-01
3.53875       	8.758452e-02
3.62041       	7.697121e-02
3.68673       	6.638907e-02
3.76561       	5.339915e-02
3.87375       	4.198404e-02
4.01          	4.660309e-02
4.11          	4.441538e-02
4.21          	4.145038e-02
4.31          	3.605525e-02
4.41          	2.939984e-02
4.51          	2.783595e-02
4.61          	2.853987e-02
4.71          	2.857620e-02
4.81          	2.760618e-02
4.91          	2.498337e-02
