# Region type : patch outlet
# Faces       : 200
# Area        : 5.309630e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
0.05          	1.721961e-12
0.1           	2.768053e-10
0.15          	-2.487795e-08
0.2           	-8.584969e-07
0.25          	-1.057352e-05
0.3           	-3.299655e-05
0.35          	-3.963078e-05
0.4           	-4.934116e-05
0.45          	-7.615513e-05
0.5           	-1.110929e-04
0.55          	-1.159816e-04
0.6           	8.292217e-04
0.65          	6.579848e-03
0.7           	1.650910e-02
0.75          	2.648029e-02
0.8           	3.207915e-02
0.85          	3.014197e-02
0.9           	3.252585e-02
0.95          	3.524910e-02
1             	2.782181e-02
1.05          	1.365226e-02
1.1           	1.201645e-02
1.15          	1.200538e-02
1.2           	1.630261e-02
1.25          	1.838666e-02
1.3           	1.922502e-02
1.35          	2.155172e-02
1.4           	2.215582e-02
1.45          	1.656294e-02
1.5           	1.297353e-02
1.55          	9.421393e-03
1.6           	6.316888e-03
1.65          	5.864781e-03
1.7           	5.039237e-03
1.75          	3.411443e-03
1.8           	3.421550e-03
1.85          	8.332196e-03
1.9           	8.557265e-03
1.95          	8.226511e-03
2             	6.926551e-03
2.05          	4.373338e-03
2.1           	-3.497219e-04
2.15          	-8.983578e-03
2.2           	-1.857166e-02
2.25          	-2.601128e-02
2.3           	-2.926739e-02
2.35          	-3.045080e-02
2.4           	-2.517418e-02
2.45          	-2.010861e-02
2.5           	-1.358432e-02
2.55          	-5.754653e-03
2.6           	3.262845e-03
2.65          	1.327061e-02
2.7           	2.263806e-02
2.75          	2.954790e-02
2.8           	3.321366e-02
2.85          	3.280240e-02
2.9           	3.310914e-02
2.95          	3.271847e-02
3             	3.085126e-02
3.05          	2.836814e-02
3.1           	2.387130e-02
3.15          	1.544678e-02
3.2           	4.493796e-03
3.25          	-6.347078e-03
3.3           	-1.532112e-02
3.35          	-2.424453e-02
3.4           	-3.032449e-02
3.45          	-3.166718e-02
3.5           	-3.421357e-02
3.55          	-3.553549e-02
3.6           	-3.552105e-02
3.65          	-3.367316e-02
3.7           	-2.939956e-02
3.75          	-2.299316e-02
3.8           	-1.440839e-02
3.85          	-3.439836e-03
3.9           	4.022850e-03
3.95          	9.694242e-03
4             	1.498186e-02
4.05          	1.963659e-02
4.1           	2.331657e-02
4.15          	2.596489e-02
4.2           	2.736896e-02
4.25          	2.796325e-02
4.3           	2.772694e-02
4.35          	2.632814e-02
4.4           	2.373548e-02
4.45          	2.001059e-02
4.5           	1.571566e-02
4.55          	1.116531e-02
4.6           	6.802000e-03
4.65          	2.831239e-03
4.7           	-7.393284e-04
4.75          	-3.969206e-03
4.8           	-6.900694e-03
4.85          	-9.546097e-03
4.9           	-1.187894e-02
4.95          	-1.385748e-02
5             	-1.538107e-02
